sps_descripcion,fecha
"CASCO CHICO RODILLERA CODERA-10",04/12/2009
"CASCO CHICO RODILLERA CODERA-10",21/12/2011
"CASCO CHICO RODILLERA CODERA-10",26/11/2010
"CASCO CHICO RODILLERA CODERA-10",03/12/2009
"CASCO CHICO RODILLERA CODERA-10",30/11/2010
"CASCO CHICO RODILLERA CODERA-10",18/12/2010
"CASCO CHICO RODILLERA CODERA-10",04/12/2007
"CASCO CHICO RODILLERA CODERA-10",30/11/2010
"CASCO CHICO RODILLERA CODERA-10",13/11/2007
"CASCO CHICO RODILLERA CODERA-10",05/12/2007
"CASCO CHICO RODILLERA CODERA-10",14/11/2011
"CASCO CHICO RODILLERA CODERA-10",13/11/2012
"CASCO CHICO RODILLERA CODERA-10",10/12/2011
"CASCO CHICO RODILLERA CODERA-10",12/12/2012
"CASCO CHICO RODILLERA CODERA-10",07/12/2007
"CASCO CHICO RODILLERA CODERA-10",03/12/2007
"CASCO CHICO RODILLERA CODERA-10",28/12/2007
"CASCO CHICO RODILLERA CODERA-10",04/12/2009
"CASCO CHICO RODILLERA CODERA-10",18/12/2010
"CASCO CHICO RODILLERA CODERA-10",11/11/2011
"CASCO CHICO RODILLERA CODERA-10",23/12/2011
"CASCO CHICO RODILLERA CODERA-10",17/11/2011
"CASCO CHICO RODILLERA CODERA-10",12/10/2007
"CASCO CHICO RODILLERA CODERA-10",14/12/2007
"CASCO CHICO RODILLERA CODERA-10",21/12/2012
"CASCO CHICO RODILLERA CODERA-10",22/12/2010
"CASCO CHICO RODILLERA CODERA-10",29/11/2013
"CASCO CHICO RODILLERA CODERA-10",07/10/2013
"CASCO CHICO RODILLERA CODERA-10",11/12/2007
"CASCO CHICO RODILLERA CODERA-10",13/11/2009
"CASCO CHICO RODILLERA CODERA-10",10/12/2011
"CASCO CHICO RODILLERA CODERA-10",23/12/2007
"CASCO CHICO RODILLERA CODERA-10",23/11/2010
"CASCO CHICO RODILLERA CODERA-10",21/12/2010
"CASCO CHICO RODILLERA CODERA-10",29/11/2010
"CASCO CON VICERA-09",09/12/2011
"CASCO CON VICERA-09",22/11/2010
"CASCO CON VICERA-09",09/12/2011
"CASCO CON VICERA-09",01/12/2009
"CASCO CON VICERA-09",14/10/2011
"CASCO CON VICERA-09",23/10/2009
"CASCO CON VICERA-09",11/10/2011
"CASCO CON VICERA-09",29/11/2010
"CASCO CON VICERA-09",01/12/2009
"CASCO CON VICERA-09",11/11/2011
"CASCO CON VICERA-09",16/11/2006
"CASCO CON VICERA-09",06/12/2012
"CASCO CON VICERA-09",19/10/2007
"CASCO CON VICERA-09",08/11/2011
