propiedad;precio;ALMACENES PEQUENOS VENTA DE ALIMENTOS;ESTABLECIMIENTOS DE ENSENANZA PRIMARIA Y SECUNDARIA PARA ADULTOS;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;PELUQUERIAS Y SALONES DE BELLEZA;ACTIVIDADES DE ORGANIZACIONES RELIGIOSAS;VENTA AL POR MAYOR DE PRODUCTOS TEXTILES, PRENDAS DE VESTIR Y CALZADO;RESTAURANTES;VENTAS AL POR MENOR DE OTROS PROD. EN ALMACENES ESPECIALIZADOS N.C.P.;VENTA AL POR MENOR DE BEBIDAS Y LICORES BOTILLERIAS;ADMINISTRACION DE MERCADOS FINANCIEROS;ESTABLECIMIENTOS DE COMIDA RAPIDA BARES, FUENTES DE SODA, PIZZERIAS;ALMACENES MEDIANOS VENTA DE ALIMENTOS- SUPERMERCADOS, MINIMARKETS;VENTA AL POR MENOR DE PRODUCTOS DE PANADERIA Y PASTELERIA;OTRAS REPARACIONES DE EFECTOS PERSONALES Y ENSERES DOMESTICOS N.C.P.;SERVICIOS DE OTROS ESTABLECIMIENTOS QUE EXPENDEN COMIDAS Y BEBIDAS;VENTA AL POR MENOR DE CARNES, PRODUCTOS CARNICOS Y SIMILARES;COMERCIO AL POR MENOR DE VERDURAS Y FRUTAS VERDULERIA;ESTABLECIMIENTOS MEDICOS DE ATENCION AMBULATORIA CENTROS MEDICOS;VENTA AL POR MENOR DE ART. DE FERRETERIA Y MATERIALES DE CONSTRUCCION;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;VENTA  AL POR MENOR DE ALIMENTOS  PARA MASCOTAS Y ANIMALES EN GENERAL;FARMACIAS - PERTENECIENTES A CADENA DE ESTABLECIMIENTOS;OTRAS ACTIVIDADES DE ENTRETENIMIENTO N.C.P.;BANCOS;VENTA AL POR MENOR DE MUEBLES- INCLUYE COLCHONES;VENTA AL POR MENOR DE PRODUCTOS DE CONFITERIAS, CIGARRILLOS, Y OTROS;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;VENTA AL POR MAYOR DE COMBUSTIBLES LIQUIDOS;VENTA AL POR MAYOR DE  LIBROS;VENTA AL POR MENOR DE APARATOS, ART, EQUIPO DE USO DOMESTICO N.C.P.;ACTIVIDADES DE OTRAS ORGANIZACIONES PROFESIONALES;COMERCIO POR MENOR DE ARTICULOS  DE JOYERIA, FANTASIAS Y RELOJERIAS;SERVICIOS DE COBRANZA DE CUENTAS;VENTA AL POR MENOR DE FLORES, PLANTAS, ARBOLES, SEMILLAS, ABONOS;HOSPITALES Y CLINICAS;FABRICACION  DE APARATOS DE USO DOMESTICO N.C.P.;IMPRESION PRINCIPALMENTE DE LIBROS;LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y PIEL, INCLUSO LIMPIEZAS EN SECO;SERVICIOS DE COMIDA PREPARADA EN FORMA INDUSTRIAL;AGENCIAS DE TRANSPORTE;COMERCIO AL POR MENOR DE ARTICULOS TIPICOS ARTESANIAS;ARRIENDO DE INMUEBLES AMOBLADOS O CON EQUIPOS Y MAQUINARIAS;HOTELES;REPARACION DE INSTRUMENTOS DE OPTICA N.C.P Y EQUIPO FOTOGRAFICOS;SISTEMA DE JUEGOS DE AZAR MASIVOS.;EXPLOTACION DE INSTALACIONES ESPECIALIZADAS PARA PRACTICAS DEPORTIVAS;SERVICIOS DE FOTOCOPIAS;COMERCIO AL POR MENOR DE PRODUCTOS DE VIDRIO;COMERCIO AL POR MENOR DE COMPUTADORAS, SOFTWARES Y SUMINISTROS;GRANDES TIENDAS DE PRODUCTOS DE VESTUARIO Y HOGAR;ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PUBLICO Y DE SEGURIDAD;CONSTRUCCION DE EDIFICIOS COMPLETOS O DE PARTES DE EDIFICIOS;FORJA, PRENSADO, ESTAMPADO, LAMINADO DE METAL- INCLUYE PULVIMETALURGIA;ELABORACION DE PRODUCTOS DE ALUMINIO EN FORMAS PRIMARIAS;COMERCIO AL POR MENOR DE ARTICULOS FOTOGRAFICOS;OTRAS ACTIVIDADES DE SERVICIOS FUNERARIOS Y OTRAS ACTIVIDADES CONEXAS;VENTA AL POR MAYOR DE ART. DE PERFUMERIA, COSMETICOS Y PROD. LIMPIEZA;COMERCIO POR MENOR DE JUGUETES;VENTA AL POR MAYOR DE DESECHOS METALICOS CHATARRA;EDUCACION EXTRAESCOLAR (ESCUELA DE CONDUCCION, MUSICA, MODELAJE, ETC);CORREDORES DE PROPIEDADES;VENTA AL POR MENOR DE DISCOS, CASSETTES, DVD Y VIDEOS;TRANSPORTES POR TAXIS LIBRES Y RADIOTAXIS;FAB. DE POSTRES A BASE DE LECHE HELADOS, SORBETES Y OTROS SIMILARES;PORTADORES TELEFONICOS LARGA DISTANCIA NACIONAL E INTERNACIONAL;
1303;2440;101-200;0-100;>400;>400;101-200;>400;>400;>400;>400;>400;>400;201-300;101-200;>400;>400;101-200;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1304;2440;0-100;201-300;101-200;301-400;301-400;>400;0-100;101-200;101-200;>400;0-100;>400;>400;101-200;0-100;301-400;101-200;101-200;0-100;101-200;101-200;>400;0-100;>400;>400;>400;201-300;0-100;>400;201-300;101-200;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;301-400;>400;>400;0-100;>400;>400;>400;101-200;>400;>400;301-400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1305;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1306;2440;0-100;101-200;>400;101-200;>400;>400;>400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1307;2440;0-100;101-200;101-200;101-200;0-100;101-200;0-100;101-200;0-100;>400;101-200;101-200;0-100;101-200;>400;>400;>400;>400;0-100;201-300;301-400;201-300;101-200;301-400;0-100;101-200;0-100;101-200;301-400;>400;301-400;>400;>400;>400;301-400;101-200;101-200;201-300;>400;201-300;0-100;201-300;301-400;>400;301-400;>400;201-300;201-300;201-300;>400;>400;>400;201-300;101-200;101-200;>400;>400;>400;101-200;301-400;>400;>400;>400;>400;>400;
1308;2440;0-100;101-200;101-200;0-100;301-400;101-200;0-100;0-100;201-300;>400;0-100;0-100;101-200;101-200;101-200;301-400;101-200;201-300;301-400;201-300;101-200;201-300;0-100;0-100;>400;0-100;0-100;>400;0-100;>400;0-100;201-300;0-100;101-200;>400;>400;0-100;101-200;0-100;201-300;101-200;>400;101-200;0-100;301-400;0-100;0-100;>400;101-200;>400;201-300;201-300;>400;>400;>400;>400;0-100;101-200;>400;>400;>400;201-300;>400;>400;201-300;
1309;2440;0-100;101-200;201-300;0-100;0-100;0-100;0-100;0-100;301-400;101-200;0-100;0-100;0-100;0-100;0-100;301-400;201-300;0-100;201-300;101-200;301-400;0-100;101-200;0-100;201-300;101-200;101-200;>400;0-100;0-100;0-100;101-200;101-200;101-200;101-200;101-200;201-300;301-400;301-400;301-400;201-300;0-100;201-300;0-100;101-200;301-400;0-100;>400;101-200;0-100;201-300;101-200;301-400;>400;101-200;>400;101-200;201-300;>400;301-400;>400;101-200;>400;201-300;201-300;
1310;2440;101-200;101-200;0-100;101-200;201-300;101-200;101-200;101-200;101-200;>400;101-200;101-200;201-300;201-300;101-200;101-200;0-100;101-200;101-200;101-200;101-200;201-300;101-200;101-200;101-200;301-400;201-300;>400;101-200;101-200;201-300;>400;>400;>400;201-300;101-200;301-400;>400;101-200;201-300;201-300;101-200;301-400;>400;>400;>400;201-300;101-200;>400;301-400;301-400;201-300;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;301-400;>400;301-400;>400;
1311;2440;101-200;0-100;0-100;101-200;0-100;101-200;0-100;101-200;101-200;>400;101-200;101-200;101-200;0-100;201-300;101-200;101-200;201-300;101-200;101-200;201-300;101-200;301-400;>400;201-300;>400;101-200;101-200;301-400;0-100;301-400;201-300;101-200;>400;>400;201-300;201-300;201-300;301-400;201-300;301-400;101-200;201-300;>400;>400;>400;201-300;201-300;>400;>400;>400;>400;301-400;101-200;>400;101-200;>400;>400;>400;101-200;>400;>400;0-100;>400;>400;
1312;2440;0-100;101-200;201-300;201-300;101-200;101-200;0-100;0-100;101-200;>400;0-100;0-100;301-400;0-100;201-300;>400;101-200;0-100;301-400;0-100;>400;301-400;101-200;0-100;301-400;101-200;0-100;101-200;201-300;301-400;301-400;201-300;201-300;>400;>400;301-400;0-100;0-100;301-400;0-100;>400;>400;201-300;201-300;201-300;201-300;101-200;301-400;101-200;201-300;201-300;101-200;101-200;>400;>400;>400;201-300;201-300;>400;>400;>400;201-300;>400;>400;201-300;
1313;2440;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1314;2440;0-100;101-200;0-100;101-200;101-200;0-100;101-200;101-200;0-100;>400;0-100;0-100;101-200;0-100;201-300;201-300;>400;>400;101-200;0-100;301-400;0-100;201-300;101-200;0-100;201-300;101-200;0-100;201-300;201-300;201-300;>400;201-300;>400;301-400;201-300;0-100;301-400;>400;201-300;201-300;201-300;201-300;>400;201-300;>400;201-300;101-200;201-300;>400;>400;>400;201-300;201-300;0-100;>400;>400;>400;0-100;101-200;>400;>400;>400;>400;>400;
1315;2440;0-100;0-100;0-100;101-200;>400;301-400;0-100;0-100;0-100;>400;0-100;0-100;0-100;301-400;101-200;101-200;201-300;301-400;301-400;101-200;>400;301-400;301-400;301-400;>400;101-200;0-100;101-200;0-100;>400;>400;>400;101-200;101-200;301-400;>400;201-300;>400;101-200;>400;>400;201-300;0-100;>400;101-200;>400;0-100;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;
1316;2440;0-100;101-200;0-100;101-200;201-300;301-400;0-100;0-100;0-100;>400;101-200;201-300;101-200;0-100;101-200;>400;301-400;201-300;0-100;0-100;>400;101-200;101-200;201-300;101-200;101-200;101-200;201-300;0-100;0-100;101-200;>400;>400;>400;201-300;>400;101-200;0-100;301-400;201-300;>400;0-100;201-300;>400;>400;201-300;201-300;101-200;301-400;201-300;>400;201-300;101-200;101-200;>400;301-400;>400;>400;101-200;0-100;>400;>400;301-400;>400;>400;
1317;2440;0-100;101-200;101-200;101-200;101-200;0-100;0-100;101-200;201-300;>400;0-100;0-100;0-100;201-300;0-100;>400;0-100;101-200;201-300;301-400;>400;101-200;101-200;101-200;201-300;301-400;301-400;>400;101-200;>400;101-200;301-400;101-200;>400;101-200;>400;301-400;0-100;>400;>400;201-300;301-400;201-300;201-300;301-400;301-400;301-400;301-400;101-200;301-400;0-100;>400;301-400;201-300;301-400;>400;301-400;301-400;>400;>400;>400;101-200;>400;101-200;201-300;
1318;2440;0-100;101-200;0-100;101-200;101-200;101-200;0-100;0-100;101-200;>400;101-200;101-200;101-200;0-100;201-300;0-100;201-300;101-200;0-100;201-300;101-200;0-100;201-300;>400;201-300;>400;201-300;0-100;201-300;101-200;201-300;201-300;0-100;>400;>400;101-200;201-300;101-200;201-300;301-400;201-300;0-100;101-200;>400;>400;>400;101-200;101-200;>400;>400;>400;>400;201-300;0-100;>400;201-300;>400;>400;>400;0-100;>400;>400;101-200;>400;>400;
1319;2440;101-200;101-200;>400;101-200;>400;>400;>400;>400;301-400;>400;>400;>400;301-400;>400;301-400;301-400;301-400;>400;>400;>400;>400;>400;301-400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1320;2446;201-300;301-400;101-200;101-200;201-300;101-200;>400;201-300;101-200;>400;101-200;201-300;>400;201-300;101-200;>400;101-200;0-100;101-200;201-300;101-200;>400;201-300;101-200;>400;>400;>400;101-200;>400;>400;201-300;>400;201-300;>400;301-400;>400;>400;201-300;101-200;>400;>400;>400;301-400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;101-200;>400;>400;>400;>400;>400;
1321;2447;101-200;301-400;301-400;>400;301-400;>400;>400;>400;301-400;>400;>400;201-300;101-200;>400;201-300;>400;201-300;>400;>400;>400;0-100;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1322;2450;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1323;2450;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1324;2450;0-100;0-100;0-100;0-100;0-100;201-300;0-100;101-200;101-200;>400;0-100;101-200;0-100;201-300;101-200;>400;0-100;101-200;201-300;0-100;>400;101-200;101-200;>400;201-300;0-100;201-300;201-300;0-100;>400;301-400;>400;201-300;>400;301-400;>400;0-100;101-200;0-100;301-400;>400;>400;0-100;>400;>400;0-100;0-100;>400;201-300;201-300;>400;101-200;>400;101-200;>400;201-300;>400;>400;>400;>400;>400;>400;201-300;>400;>400;
1325;2450;0-100;201-300;0-100;0-100;201-300;0-100;0-100;0-100;201-300;>400;101-200;0-100;201-300;0-100;0-100;>400;201-300;101-200;301-400;0-100;>400;201-300;0-100;101-200;101-200;0-100;0-100;301-400;0-100;301-400;301-400;0-100;0-100;>400;301-400;101-200;0-100;101-200;301-400;101-200;>400;>400;101-200;>400;0-100;201-300;101-200;301-400;0-100;0-100;201-300;301-400;201-300;>400;>400;>400;0-100;0-100;>400;>400;>400;101-200;>400;>400;0-100;
1326;2450;0-100;201-300;0-100;0-100;201-300;0-100;0-100;0-100;201-300;>400;101-200;0-100;201-300;0-100;0-100;>400;201-300;101-200;301-400;0-100;>400;201-300;0-100;101-200;101-200;0-100;0-100;301-400;0-100;301-400;301-400;0-100;0-100;>400;301-400;101-200;0-100;101-200;201-300;101-200;>400;>400;101-200;>400;0-100;201-300;0-100;301-400;0-100;0-100;301-400;301-400;201-300;>400;>400;>400;0-100;0-100;>400;>400;>400;101-200;>400;>400;0-100;
1327;2450;101-200;201-300;>400;101-200;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;201-300;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1328;2450;0-100;0-100;201-300;201-300;0-100;0-100;101-200;0-100;0-100;>400;101-200;0-100;101-200;101-200;101-200;>400;201-300;201-300;201-300;201-300;>400;>400;201-300;201-300;0-100;201-300;>400;>400;201-300;201-300;201-300;101-200;101-200;>400;>400;0-100;0-100;>400;201-300;301-400;>400;201-300;101-200;>400;301-400;201-300;101-200;201-300;201-300;0-100;>400;0-100;>400;>400;101-200;>400;201-300;301-400;>400;>400;>400;201-300;>400;>400;301-400;
1329;2450;0-100;0-100;101-200;0-100;101-200;201-300;0-100;0-100;101-200;>400;101-200;101-200;201-300;101-200;101-200;101-200;101-200;101-200;201-300;101-200;0-100;0-100;101-200;201-300;>400;>400;0-100;101-200;101-200;101-200;101-200;201-300;301-400;301-400;101-200;201-300;101-200;101-200;101-200;0-100;101-200;0-100;>400;>400;101-200;0-100;201-300;>400;>400;201-300;>400;101-200;>400;>400;201-300;201-300;201-300;>400;>400;0-100;>400;201-300;>400;>400;>400;
1330;2450;0-100;0-100;301-400;101-200;0-100;0-100;101-200;0-100;0-100;>400;101-200;101-200;101-200;101-200;101-200;>400;101-200;101-200;101-200;201-300;>400;>400;101-200;101-200;0-100;101-200;101-200;>400;101-200;101-200;101-200;101-200;201-300;>400;>400;0-100;0-100;301-400;201-300;301-400;>400;301-400;101-200;>400;301-400;101-200;101-200;101-200;101-200;0-100;>400;0-100;301-400;>400;101-200;>400;201-300;301-400;>400;>400;>400;101-200;>400;>400;301-400;
1331;2450;101-200;0-100;101-200;201-300;0-100;201-300;101-200;101-200;101-200;>400;201-300;101-200;101-200;201-300;101-200;>400;101-200;301-400;201-300;101-200;>400;201-300;201-300;201-300;101-200;201-300;201-300;201-300;201-300;201-300;301-400;101-200;201-300;>400;>400;201-300;101-200;201-300;301-400;>400;>400;201-300;101-200;>400;>400;301-400;101-200;201-300;201-300;101-200;301-400;201-300;201-300;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1332;2450;101-200;101-200;201-300;101-200;0-100;201-300;101-200;201-300;101-200;>400;101-200;101-200;201-300;201-300;301-400;101-200;101-200;201-300;101-200;301-400;101-200;>400;201-300;201-300;301-400;301-400;301-400;>400;201-300;>400;201-300;>400;101-200;201-300;301-400;>400;301-400;101-200;301-400;301-400;301-400;>400;101-200;301-400;>400;201-300;101-200;>400;201-300;>400;101-200;201-300;>400;>400;>400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;
1333;2456;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1334;2459;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1335;2459;0-100;101-200;201-300;0-100;0-100;0-100;0-100;0-100;0-100;>400;0-100;0-100;101-200;0-100;0-100;>400;0-100;201-300;0-100;301-400;>400;301-400;0-100;0-100;101-200;0-100;201-300;301-400;0-100;0-100;>400;101-200;301-400;>400;>400;201-300;0-100;201-300;101-200;301-400;>400;>400;101-200;>400;>400;101-200;101-200;0-100;0-100;201-300;>400;201-300;301-400;>400;0-100;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;
1336;2459;0-100;301-400;101-200;301-400;301-400;>400;301-400;301-400;201-300;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;201-300;>400;201-300;>400;101-200;201-300;201-300;301-400;>400;>400;101-200;201-300;>400;201-300;>400;>400;101-200;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1337;2459;0-100;101-200;201-300;101-200;101-200;0-100;0-100;0-100;0-100;>400;0-100;0-100;101-200;101-200;101-200;>400;0-100;201-300;0-100;201-300;>400;301-400;0-100;0-100;101-200;0-100;201-300;301-400;0-100;0-100;101-200;101-200;201-300;>400;>400;101-200;0-100;201-300;101-200;>400;>400;>400;101-200;>400;>400;101-200;101-200;0-100;0-100;201-300;>400;201-300;301-400;>400;101-200;>400;301-400;>400;>400;>400;>400;201-300;>400;>400;>400;
1338;2459;0-100;201-300;>400;>400;101-200;>400;101-200;>400;301-400;>400;>400;301-400;201-300;201-300;>400;>400;>400;>400;>400;301-400;>400;201-300;201-300;>400;>400;>400;0-100;>400;>400;301-400;>400;>400;>400;>400;0-100;301-400;301-400;201-300;>400;>400;>400;>400;0-100;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1339;2459;0-100;0-100;0-100;0-100;0-100;0-100;0-100;0-100;101-200;>400;0-100;0-100;101-200;0-100;101-200;101-200;101-200;0-100;201-300;101-200;>400;101-200;0-100;201-300;>400;101-200;>400;301-400;101-200;>400;201-300;101-200;201-300;301-400;>400;101-200;101-200;201-300;>400;201-300;>400;>400;>400;>400;201-300;0-100;0-100;201-300;>400;>400;301-400;101-200;>400;301-400;>400;101-200;>400;>400;201-300;201-300;>400;>400;>400;>400;>400;
1340;2459;0-100;0-100;101-200;101-200;101-200;>400;201-300;201-300;101-200;>400;101-200;0-100;0-100;201-300;301-400;>400;101-200;>400;301-400;>400;>400;>400;>400;>400;301-400;>400;101-200;>400;>400;301-400;101-200;>400;0-100;>400;>400;301-400;>400;301-400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1341;2464;0-100;101-200;0-100;0-100;201-300;0-100;201-300;0-100;101-200;>400;0-100;0-100;201-300;0-100;101-200;101-200;>400;201-300;0-100;201-300;>400;0-100;201-300;>400;0-100;0-100;0-100;201-300;201-300;>400;201-300;301-400;>400;>400;101-200;101-200;101-200;0-100;>400;0-100;201-300;0-100;>400;201-300;101-200;>400;>400;201-300;301-400;>400;>400;>400;101-200;>400;101-200;>400;>400;301-400;>400;201-300;>400;>400;>400;>400;>400;
1342;2470;0-100;201-300;201-300;201-300;101-200;>400;201-300;>400;301-400;>400;201-300;301-400;101-200;201-300;>400;301-400;101-200;>400;101-200;301-400;>400;>400;>400;101-200;201-300;301-400;>400;301-400;>400;301-400;101-200;>400;201-300;>400;>400;201-300;>400;201-300;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1343;2478;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1344;2478;101-200;101-200;101-200;101-200;301-400;>400;101-200;0-100;201-300;>400;101-200;201-300;>400;101-200;>400;>400;101-200;301-400;0-100;101-200;>400;>400;101-200;101-200;201-300;>400;201-300;0-100;301-400;101-200;>400;>400;>400;>400;101-200;>400;201-300;>400;>400;>400;>400;101-200;201-300;>400;101-200;>400;201-300;>400;301-400;>400;201-300;>400;201-300;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;
1345;2478;0-100;0-100;301-400;>400;101-200;>400;0-100;301-400;101-200;>400;101-200;301-400;201-300;>400;>400;0-100;>400;>400;>400;>400;301-400;201-300;301-400;>400;>400;>400;>400;101-200;301-400;301-400;301-400;>400;>400;>400;0-100;>400;>400;301-400;>400;>400;>400;>400;301-400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1346;2478;201-300;201-300;0-100;301-400;201-300;>400;>400;301-400;301-400;>400;>400;201-300;>400;>400;201-300;>400;>400;301-400;>400;201-300;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1347;2478;0-100;101-200;101-200;0-100;101-200;0-100;101-200;>400;101-200;>400;101-200;101-200;0-100;>400;101-200;101-200;301-400;301-400;>400;101-200;201-300;201-300;0-100;>400;>400;301-400;101-200;>400;301-400;201-300;>400;>400;>400;301-400;101-200;>400;>400;301-400;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;
1348;2478;101-200;301-400;>400;101-200;101-200;>400;201-300;>400;301-400;>400;101-200;201-300;>400;201-300;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1349;2478;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1350;2478;0-100;101-200;101-200;0-100;101-200;0-100;101-200;>400;101-200;>400;101-200;101-200;0-100;>400;101-200;101-200;301-400;301-400;>400;101-200;201-300;201-300;0-100;>400;>400;301-400;101-200;>400;301-400;201-300;>400;>400;>400;301-400;101-200;>400;>400;301-400;101-200;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;
1351;2478;0-100;0-100;301-400;>400;0-100;>400;201-300;>400;>400;>400;101-200;301-400;>400;>400;>400;101-200;>400;>400;>400;201-300;>400;>400;>400;>400;>400;>400;>400;0-100;201-300;>400;201-300;>400;>400;>400;201-300;>400;>400;201-300;>400;>400;>400;>400;201-300;>400;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
1352;2478;101-200;301-400;301-400;>400;>400;>400;301-400;>400;>400;>400;>400;0-100;>400;>400;>400;>400;>400;>400;>400;>400;101-200;>400;>400;101-200;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;201-300;0-100;>400;>400;101-200;>400;>400;>400;>400;>400;>400;>400;301-400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;>400;
